,avg_within_event_corr,avg_between_event_corr,avg_difference,M,test_subject,dataset,K,embed_method,ROI,boundary_TRs,model_LogLikelihood
133,0.5041210780078255,-0.008432378911597134,0.5125534569194226,9,15,sherlock,52,TPHATE,early_visual,"[0, 34, 65, 119, 143, 166, 222, 253, 303, 326, 360, 399, 437, 464, 495, 534, 563, 616, 666, 718, 749, 806, 842, 867, 889, 910, 945, 997, 1042, 1076, 1105, 1140, 1223, 1266, 1289, 1325, 1391, 1430, 1465, 1492, 1538, 1572, 1600, 1635, 1664, 1737, 1776, 1824, 1853, 1882, 1911, 1957, 1976]",-2049.4350865958318
134,0.49186401329078594,-0.008448169305495367,0.5003121825962813,10,15,sherlock,52,TPHATE,early_visual,"[0, 37, 67, 119, 143, 168, 221, 254, 303, 325, 359, 396, 424, 465, 494, 530, 584, 664, 696, 720, 749, 811, 844, 867, 889, 912, 945, 997, 1042, 1076, 1106, 1140, 1223, 1266, 1289, 1321, 1387, 1429, 1466, 1492, 1543, 1573, 1600, 1636, 1665, 1736, 1771, 1824, 1854, 1881, 1912, 1956, 1976]",-2085.6615139376427
135,0.24971024571163652,-0.010525069062763086,0.2602353147743996,2,16,sherlock,52,TPHATE,early_visual,"[0, 31, 202, 374, 546, 687, 701, 716, 730, 745, 759, 774, 788, 803, 817, 832, 846, 861, 875, 923, 971, 983, 996, 1009, 1021, 1050, 1079, 1109, 1138, 1167, 1196, 1226, 1255, 1284, 1310, 1335, 1385, 1436, 1468, 1499, 1531, 1590, 1649, 1708, 1755, 1803, 1817, 1831, 1844, 1859, 1903, 1948, 1976]",-2039.7031360617002
136,0.46413659670818236,-0.012129243152209852,0.4762658398603922,3,16,sherlock,52,TPHATE,early_visual,"[0, 33, 64, 80, 136, 175, 250, 286, 360, 382, 394, 435, 458, 481, 500, 546, 612, 629, 648, 662, 699, 740, 765, 790, 911, 931, 973, 1019, 1037, 1098, 1146, 1184, 1232, 1256, 1282, 1294, 1335, 1385, 1436, 1471, 1533, 1552, 1569, 1586, 1639, 1660, 1708, 1802, 1824, 1846, 1865, 1944, 1976]",-1758.9268171356052
137,0.3786190758810426,-0.012344462701736145,0.39096353858277877,4,16,sherlock,52,TPHATE,early_visual,"[0, 31, 64, 78, 100, 139, 175, 251, 286, 366, 388, 436, 479, 500, 519, 546, 570, 634, 660, 713, 736, 763, 790, 818, 862, 934, 977, 1016, 1034, 1099, 1147, 1188, 1229, 1257, 1273, 1289, 1305, 1335, 1386, 1436, 1530, 1544, 1556, 1570, 1584, 1601, 1610, 1638, 1658, 1707, 1901, 1945, 1976]",-1926.6316850636633
138,0.472304418178151,-0.010788930346422783,0.4830933485245738,5,16,sherlock,52,TPHATE,early_visual,"[0, 27, 40, 73, 99, 138, 175, 242, 287, 341, 367, 390, 433, 479, 500, 524, 544, 640, 661, 714, 738, 790, 818, 867, 889, 913, 978, 1014, 1032, 1097, 1133, 1189, 1234, 1270, 1284, 1335, 1386, 1435, 1488, 1529, 1543, 1561, 1585, 1639, 1661, 1708, 1734, 1762, 1826, 1845, 1893, 1945, 1976]",-2002.1588483637406
139,0.4176044227695585,-0.00954142510316739,0.4271458478727259,6,16,sherlock,52,TPHATE,early_visual,"[0, 26, 42, 75, 99, 138, 174, 244, 287, 342, 366, 391, 432, 465, 501, 521, 544, 640, 660, 715, 740, 790, 817, 867, 887, 912, 978, 1014, 1033, 1097, 1132, 1190, 1234, 1273, 1373, 1436, 1490, 1529, 1543, 1563, 1583, 1605, 1638, 1658, 1707, 1745, 1763, 1826, 1858, 1895, 1933, 1949, 1976]",-2126.830633505694
140,0.44547579103130047,-0.008580208869786509,0.45405599990108697,7,16,sherlock,52,TPHATE,early_visual,"[0, 26, 41, 76, 101, 139, 175, 244, 287, 342, 365, 395, 433, 500, 520, 543, 572, 632, 659, 712, 746, 790, 814, 913, 928, 939, 977, 1015, 1038, 1097, 1162, 1189, 1235, 1268, 1291, 1373, 1435, 1469, 1527, 1544, 1568, 1587, 1639, 1661, 1708, 1759, 1779, 1801, 1825, 1859, 1895, 1945, 1976]",-2147.2430937058944
141,0.4215307410779746,-0.007252716648086429,0.428783457726061,8,16,sherlock,52,TPHATE,early_visual,"[0, 30, 65, 82, 103, 137, 172, 287, 342, 365, 398, 435, 463, 503, 524, 546, 574, 630, 661, 712, 747, 790, 815, 864, 887, 912, 935, 977, 1015, 1037, 1098, 1162, 1189, 1270, 1293, 1342, 1374, 1436, 1472, 1527, 1544, 1561, 1585, 1639, 1661, 1707, 1740, 1762, 1825, 1843, 1892, 1943, 1976]",-2200.06081271527
142,0.42139537269021543,-0.007183345261042418,0.42857871795125785,9,16,sherlock,52,TPHATE,early_visual,"[0, 30, 61, 79, 101, 138, 175, 247, 287, 344, 405, 434, 460, 500, 527, 547, 575, 629, 665, 710, 744, 790, 814, 858, 911, 932, 977, 1014, 1038, 1098, 1161, 1189, 1234, 1269, 1293, 1340, 1434, 1466, 1491, 1528, 1546, 1582, 1606, 1638, 1659, 1707, 1731, 1761, 1825, 1847, 1894, 1943, 1976]",-2242.127535092327
143,0.4398348305354748,-0.005855062996661189,0.44568989353213595,10,16,sherlock,52,TPHATE,early_visual,"[0, 29, 60, 81, 103, 136, 174, 249, 287, 344, 406, 438, 461, 502, 529, 547, 572, 629, 663, 708, 744, 789, 814, 855, 910, 932, 976, 1014, 1037, 1098, 1162, 1188, 1234, 1289, 1342, 1373, 1436, 1466, 1492, 1528, 1545, 1575, 1587, 1640, 1661, 1706, 1730, 1761, 1826, 1845, 1892, 1942, 1976]",-2249.976026495031
