,subject,ROI,dataset,CV_M,CV_K,embed_method
1031,14,high_Visual,sherlock,3,22,PHATE
1032,15,high_Visual,sherlock,3,21,PHATE
1033,16,high_Visual,sherlock,3,20,PHATE
582,1,high_Visual,sherlock,4,19,TPHATE
583,2,high_Visual,sherlock,4,21,TPHATE
584,3,high_Visual,sherlock,4,21,TPHATE
585,4,high_Visual,sherlock,4,22,TPHATE
586,5,high_Visual,sherlock,5,21,TPHATE
587,6,high_Visual,sherlock,5,19,TPHATE
588,7,high_Visual,sherlock,5,22,TPHATE
589,8,high_Visual,sherlock,4,20,TPHATE
590,9,high_Visual,sherlock,4,21,TPHATE
591,10,high_Visual,sherlock,5,22,TPHATE
592,11,high_Visual,sherlock,6,22,TPHATE
593,12,high_Visual,sherlock,4,21,TPHATE
594,13,high_Visual,sherlock,5,19,TPHATE
595,14,high_Visual,sherlock,5,22,TPHATE
596,15,high_Visual,sherlock,5,21,TPHATE
597,16,high_Visual,sherlock,5,20,TPHATE
856,1,early_visual,forrest,3,102,PCA
857,2,early_visual,forrest,3,100,PCA
858,3,early_visual,forrest,3,97,PCA
859,4,early_visual,forrest,3,109,PCA
860,6,early_visual,forrest,3,105,PCA
861,9,early_visual,forrest,3,95,PCA
862,10,early_visual,forrest,3,106,PCA
863,14,early_visual,forrest,3,100,PCA
864,15,early_visual,forrest,3,100,PCA
865,16,early_visual,forrest,3,101,PCA
866,17,early_visual,forrest,3,101,PCA
867,18,early_visual,forrest,3,101,PCA
868,19,early_visual,forrest,3,100,PCA
869,20,early_visual,forrest,3,103,PCA
1154,1,early_visual,forrest,3,102,UMAP
1155,2,early_visual,forrest,3,100,UMAP
1156,3,early_visual,forrest,3,97,UMAP
1157,4,early_visual,forrest,3,109,UMAP
1158,6,early_visual,forrest,3,105,UMAP
1159,9,early_visual,forrest,4,95,UMAP
1160,10,early_visual,forrest,4,106,UMAP
1161,14,early_visual,forrest,5,100,UMAP
1162,15,early_visual,forrest,3,100,UMAP
1163,16,early_visual,forrest,3,101,UMAP
1164,17,early_visual,forrest,3,101,UMAP
1165,18,early_visual,forrest,3,101,UMAP
1166,19,early_visual,forrest,4,100,UMAP
1167,20,early_visual,forrest,3,103,UMAP
1080,1,early_visual,forrest,3,102,PHATE
1081,2,early_visual,forrest,3,100,PHATE
1082,3,early_visual,forrest,3,97,PHATE
1083,4,early_visual,forrest,3,109,PHATE
1084,6,early_visual,forrest,3,105,PHATE
1085,9,early_visual,forrest,3,95,PHATE
1086,10,early_visual,forrest,3,106,PHATE
1087,14,early_visual,forrest,3,100,PHATE
1088,15,early_visual,forrest,3,100,PHATE
1089,16,early_visual,forrest,3,101,PHATE
1090,17,early_visual,forrest,3,101,PHATE
1091,18,early_visual,forrest,3,101,PHATE
