,method,sigma,alpha,demap,features
246,LLE,10.0,6,0.8995923531594994,20
247,ISOMAP,10.0,6,0.996290710268021,20
248,TSNE,10.0,6,0.9193833814877659,20
249,PHATE,10.0,6,0.9902823514987256,20
250,PCA,10.0,6,0.9978371692154508,20
251,UMAP,10.0,6,0.9898094210381835,20
252,TPHATE,20.0,6,0.9883235380797607,20
253,LLE,20.0,6,0.8658288176124768,20
254,ISOMAP,20.0,6,0.9748810960680703,20
255,TSNE,20.0,6,0.9100408003460974,20
256,PHATE,20.0,6,0.9663471056969577,20
257,PCA,20.0,6,0.9878910422183972,20
258,UMAP,20.0,6,0.9495307531596957,20
259,TPHATE,50.0,6,0.985265348900403,20
260,LLE,50.0,6,0.7992658890402075,20
261,ISOMAP,50.0,6,0.9176425429465378,20
262,TSNE,50.0,6,0.8691700236828306,20
263,PHATE,50.0,6,0.9152481340176494,20
264,PCA,50.0,6,0.9335924488239938,20
265,UMAP,50.0,6,0.9273167105743984,20
266,TPHATE,80.0,6,0.952227396800654,20
267,LLE,80.0,6,0.5541289427890493,20
268,ISOMAP,80.0,6,0.7556270249995739,20
269,TSNE,80.0,6,0.7397054334628443,20
270,PHATE,80.0,6,0.782903666646097,20
271,PCA,80.0,6,0.8088812139519294,20
272,UMAP,80.0,6,0.7683589643031086,20
273,TPHATE,100.0,6,0.9622992303613614,20
274,LLE,100.0,6,0.5906108448202062,20
275,ISOMAP,100.0,6,0.7628255982095195,20
276,TSNE,100.0,6,0.32994539307627213,20
277,PHATE,100.0,6,0.7989785958993609,20
278,PCA,100.0,6,0.7708533463867868,20
279,UMAP,100.0,6,0.7481674360775971,20
