,subject,ROI,dataset,avg_difference,embed_method,model_LogLikelihood,AIC
8,20,aud_early,forrest,0.29190585719808804,LLE,-4400.625577395999,18879.251154792
9,20,aud_early,forrest,0.05216428567909145,LLE,-5399.642006546435,21453.284013092867
10,20,aud_early,forrest,0.03880955134301616,LLE,-5424.851643179884,21797.703286359767
11,20,aud_early,forrest,0.018050323078751814,LLE,-4700.19201965756,21564.38403931512
12,20,aud_early,forrest,0.020479770630620682,LLE,-5368.621416154941,21983.24283230988
13,20,aud_early,forrest,0.005232726845590837,LLE,-6323.04317108769,23594.086342175386
0,16,early_visual,sherlock,0.1961308535522316,PCA,-2754.311811505561,10112.623623011124
1,16,early_visual,sherlock,0.1405786910723202,PCA,-2744.361223085303,9716.722446170605
2,16,early_visual,sherlock,0.18377399428327207,PCA,-2748.296440849279,10100.592881698558
3,16,early_visual,sherlock,0.15590855182742785,PCA,-2769.179486523937,9766.358973047874
4,16,early_visual,sherlock,0.1478774466033996,PCA,-2773.5231983188824,9593.046396637763
5,16,early_visual,sherlock,0.18686061709960536,PCA,-2724.8540742454875,10445.708148490976
6,16,early_visual,sherlock,0.1662737607653183,PCA,-2718.9211601912257,9851.842320382453
7,16,early_visual,sherlock,0.2173682388162247,PCA,-2700.5828860035595,10005.16577200712
8,16,early_visual,sherlock,0.16184012672992334,PCA,-2761.7822095623865,10321.564419124774
9,16,early_visual,sherlock,0.16544740916415165,PCA,-2800.1877122175124,9828.375424435024
10,16,early_visual,sherlock,0.14980826970758426,PCA,-2794.214895519541,10192.42979103908
11,16,early_visual,sherlock,0.16983598110700138,PCA,-2779.583016571862,9973.166033143725
12,16,early_visual,sherlock,0.1675573609962322,PCA,-2770.0952299921746,9408.190459984351
13,16,early_visual,sherlock,0.13462710294339214,PCA,-2816.5874064369627,10831.174812873924
14,16,early_visual,sherlock,0.15434098340773506,PCA,-2746.26639956308,9720.53279912616
15,16,early_visual,sherlock,0.14879788151084286,PCA,-2789.6682366333785,9447.336473266756
0,20,high_Visual,forrest,0.051224853167092736,PHATE,-5378.104723845426,20552.209447690853
1,20,high_Visual,forrest,0.04419165456954857,PHATE,-5362.604058353034,19969.208116706068
2,20,high_Visual,forrest,0.051141764226542465,PHATE,-5365.704403633378,21977.408807266762
3,20,high_Visual,forrest,0.032725207736452946,PHATE,-5372.790261541006,21991.58052308201
4,20,high_Visual,forrest,0.03972036123287495,PHATE,-5349.874724310979,19943.749448621962
5,20,high_Visual,forrest,0.04928573608884728,PHATE,-5342.215142283395,20762.430284566788
6,20,high_Visual,forrest,0.053794104541071835,PHATE,-5362.711228091273,20243.42245618255
7,20,high_Visual,forrest,0.047398940767224264,PHATE,-5367.941990810459,21099.88398162092
8,20,high_Visual,forrest,0.055930006261221625,PHATE,-5331.954405467829,21317.90881093566
9,20,high_Visual,forrest,0.053443954091503716,PHATE,-5325.317845526243,20446.635691052485
10,20,high_Visual,forrest,0.04244429548153063,PHATE,-5382.910054043567,19739.820108087133
11,20,high_Visual,forrest,0.04249206482381045,PHATE,-5369.237726569351,21102.4754531387
12,20,high_Visual,forrest,0.0385064957224815,PHATE,-5401.886782922938,20321.77356584588
13,20,high_Visual,forrest,0.058536686355099586,PHATE,-5318.769185309221,21001.538370618444
0,16,aud_early,sherlock,0.4631582336620918,PHATE_TIME,1073.4586423260478,-1428.9172846520955
1,16,aud_early,sherlock,0.29917938368015745,PHATE_TIME,575.7135139785859,-433.42702795717173
2,16,aud_early,sherlock,0.1688074562661176,PHATE_TIME,1030.0061638992402,-1342.0123277984806
3,16,aud_early,sherlock,0.1382496939070842,PHATE_TIME,-414.7043700775498,1547.4087401550994
4,16,aud_early,sherlock,0.4657356406520707,PHATE_TIME,64.69893378909143,588.6021324218171
5,16,aud_early,sherlock,0.3341989096650288,PHATE_TIME,368.9927538063722,-19.985507612744527
6,16,aud_early,sherlock,0.3860084261606961,PHATE_TIME,142.66934313701185,432.66131372597636
7,16,aud_early,sherlock,0.2539803011365096,PHATE_TIME,-1788.6290051194821,4221.258010238964
8,16,aud_early,sherlock,0.27424900280646297,PHATE_TIME,245.15930468900575,305.6813906219885
9,16,aud_early,sherlock,0.32375032797258224,PHATE_TIME,1003.413708109756,-1128.827416219512
10,16,aud_early,sherlock,0.270322230499104,PHATE_TIME,1028.740434106142,-1261.480868212284
11,16,aud_early,sherlock,0.2503670427130984,PHATE_TIME,616.2416850823732,-588.4833701647465
12,16,aud_early,sherlock,0.4531761733221574,PHATE_TIME,456.4928778146185,-268.98575562923696
13,16,aud_early,sherlock,0.3305659956959834,PHATE_TIME,593.580411038316,-469.16082207663203
14,16,aud_early,sherlock,0.8782845459252347,PHATE_TIME,481.2475710505663,-244.4951421011326
15,16,aud_early,sherlock,0.3422000800099222,PHATE_TIME,-297.16051591646794,1238.321031832936
0,20,early_visual,forrest,0.13025909736385788,TPHATE,-5144.314431323497,31502.628862646998
1,20,early_visual,forrest,0.10878573034133543,TPHATE,-4106.070942259286,28610.141884518573
2,20,early_visual,forrest,0.06410503939440677,TPHATE,-3159.1599082669427,25522.319816533884
3,20,early_visual,forrest,0.007849352217621355,TPHATE,-2394.164558592229,28984.329117184458
4,20,early_visual,forrest,0.1604045405114766,TPHATE,-5012.842154141423,32493.68430828284
5,20,early_visual,forrest,0.14491015798963508,TPHATE,-5087.668685188082,28603.33737037616
6,20,early_visual,forrest,0.051700546155492265,TPHATE,-3731.090102344589,30356.18020468917
7,20,early_visual,forrest,0.11536168218167572,TPHATE,-4680.069361958634,29758.13872391727
