,test_subject,avg_diff,ROI,embed_method,dataset
287,4,0.015454419652204112,high_Visual,PHATE,sherlock
288,4,0.010080198574401336,high_Visual,PHATE_TIME,forrest
289,4,0.031948023473598326,high_Visual,PHATE_TIME,sherlock
290,4,0.04499632554967387,high_Visual,SMOOTH_PHATE,forrest
291,4,-0.0013384801533264953,high_Visual,SMOOTH_PHATE,sherlock
292,4,0.06415378754748584,high_Visual,TPHATE,forrest
293,4,0.006576711536152413,high_Visual,TPHATE,sherlock
294,4,0.0059344347374187855,high_Visual,TSNE,forrest
295,4,0.009466355206154556,high_Visual,TSNE,sherlock
296,4,0.010810074515148427,high_Visual,UMAP,forrest
297,4,0.010264373024141508,high_Visual,UMAP,sherlock
298,4,0.005844498201847176,high_Visual,voxel,forrest
299,4,0.008085303229204267,high_Visual,voxel,sherlock
300,4,-0.00025859580841937867,pmc_nn,ISOMAP,forrest
301,4,0.007655528781335514,pmc_nn,ISOMAP,sherlock
302,4,9.278946398838288e-05,pmc_nn,LLE,forrest
303,4,0.005191210822073283,pmc_nn,LLE,sherlock
304,4,-0.0005490879427277342,pmc_nn,PCA,forrest
305,4,0.0051709235774277384,pmc_nn,PCA,sherlock
306,4,-9.680979965166327e-05,pmc_nn,PHATE,forrest
307,4,0.004406593043366548,pmc_nn,PHATE,sherlock
308,4,0.0076613044693481114,pmc_nn,PHATE_TIME,forrest
309,4,-0.011839851327358337,pmc_nn,PHATE_TIME,sherlock
310,4,0.0008512826108321482,pmc_nn,SMOOTH_PHATE,forrest
311,4,-0.014660906719520916,pmc_nn,SMOOTH_PHATE,sherlock
312,4,0.023610067490815637,pmc_nn,TPHATE,forrest
313,4,0.03242098508134171,pmc_nn,TPHATE,sherlock
314,4,0.0017821240831085044,pmc_nn,TSNE,forrest
315,4,0.0006651749250670597,pmc_nn,TSNE,sherlock
316,4,0.0007474424686320571,pmc_nn,UMAP,forrest
317,4,0.013246273963128297,pmc_nn,UMAP,sherlock
318,4,0.0014878256597082528,pmc_nn,voxel,forrest
319,4,0.007799428180977464,pmc_nn,voxel,sherlock
320,5,0.040504017796775066,aud_early,ISOMAP,sherlock
321,5,0.02292723480606822,aud_early,LLE,sherlock
322,5,0.03319908262188123,aud_early,PCA,sherlock
323,5,0.029835003057688436,aud_early,PHATE,sherlock
324,5,0.003834555947296073,aud_early,PHATE_TIME,sherlock
325,5,0.018774219544433004,aud_early,SMOOTH_PHATE,sherlock
326,5,-0.013255554618253824,aud_early,TPHATE,sherlock
327,5,0.0022362002998836186,aud_early,TSNE,sherlock
328,5,0.011468763827520094,aud_early,UMAP,sherlock
329,5,0.01587761238149211,aud_early,voxel,sherlock
330,5,0.028507834501934965,early_visual,ISOMAP,sherlock
331,5,0.026332109835636275,early_visual,LLE,sherlock
332,5,0.03529345210819944,early_visual,PCA,sherlock
333,5,0.023352169298053053,early_visual,PHATE,sherlock
334,5,0.009667948977330905,early_visual,PHATE_TIME,sherlock
335,5,0.002486377454832724,early_visual,SMOOTH_PHATE,sherlock
336,5,0.06716700218917554,early_visual,TPHATE,sherlock
337,5,0.027251441408644984,early_visual,TSNE,sherlock
338,5,0.01574347247213208,early_visual,UMAP,sherlock
339,5,0.033523184146026494,early_visual,voxel,sherlock
340,5,0.006577257428718082,high_Visual,ISOMAP,sherlock
341,5,-0.0014728491795831006,high_Visual,LLE,sherlock
342,5,0.01087492566123946,high_Visual,PCA,sherlock
343,5,0.00855035785797016,high_Visual,PHATE,sherlock
344,5,0.033607618231539904,high_Visual,PHATE_TIME,sherlock
345,5,-0.026752904579354586,high_Visual,SMOOTH_PHATE,sherlock
346,5,-0.002892035287525124,high_Visual,TPHATE,sherlock
347,5,0.012890399592049255,high_Visual,TSNE,sherlock
348,5,-0.027498100289495994,high_Visual,UMAP,sherlock
349,5,0.013207354808581293,high_Visual,voxel,sherlock
350,5,0.011311962174681923,pmc_nn,ISOMAP,sherlock
351,5,0.0028119517860079454,pmc_nn,LLE,sherlock
352,5,0.015741575645704525,pmc_nn,PCA,sherlock
353,5,0.012016028676870568,pmc_nn,PHATE,sherlock
354,5,-0.027248312100135497,pmc_nn,PHATE_TIME,sherlock
355,5,0.006747850173054025,pmc_nn,SMOOTH_PHATE,sherlock
356,5,0.04384616449211353,pmc_nn,TPHATE,sherlock
357,5,0.007986222713775719,pmc_nn,TSNE,sherlock
358,5,0.010123392794016573,pmc_nn,UMAP,sherlock
359,5,0.01284727821700116,pmc_nn,voxel,sherlock
360,6,0.006482727297035236,aud_early,ISOMAP,forrest
361,6,0.025421910598111382,aud_early,ISOMAP,sherlock
362,6,0.000521908466053788,aud_early,LLE,forrest
363,6,0.009671029244330385,aud_early,LLE,sherlock
364,6,0.010682529526213095,aud_early,PCA,forrest
365,6,0.027261103820363255,aud_early,PCA,sherlock
366,6,0.0021960582807473523,aud_early,PHATE,forrest
367,6,0.03902696993906652,aud_early,PHATE,sherlock
368,6,0.03001825866396624,aud_early,PHATE_TIME,forrest
369,6,0.024152100461247546,aud_early,PHATE_TIME,sherlock
370,6,0.02220031611015962,aud_early,SMOOTH_PHATE,forrest
371,6,0.01822757865662048,aud_early,SMOOTH_PHATE,sherlock
372,6,0.017876549650306228,aud_early,TPHATE,forrest
373,6,0.04553451650926156,aud_early,TPHATE,sherlock
374,6,0.002531285074802136,aud_early,TSNE,forrest
375,6,0.001060439494844848,aud_early,TSNE,sherlock
376,6,0.0025673517561836576,aud_early,UMAP,forrest
377,6,0.013036784795609008,aud_early,UMAP,sherlock
378,6,0.008178845157874932,aud_early,voxel,forrest
379,6,0.017877942243025306,aud_early,voxel,sherlock
380,6,0.001653178295830318,early_visual,ISOMAP,forrest
381,6,0.058859851752738244,early_visual,ISOMAP,sherlock
382,6,-0.000343180922642062,early_visual,LLE,forrest
383,6,0.013632195836829415,early_visual,LLE,sherlock
384,6,0.007060620000864736,early_visual,PCA,forrest
385,6,0.04788720544876045,early_visual,PCA,sherlock
386,6,0.0025374462166507655,early_visual,PHATE,forrest
387,6,0.04513752455825837,early_visual,PHATE,sherlock
388,6,-0.003981824323306174,early_visual,PHATE_TIME,forrest
389,6,0.013841183842225003,early_visual,PHATE_TIME,sherlock
390,6,0.009377547999505438,early_visual,SMOOTH_PHATE,forrest
391,6,0.05420095097057853,early_visual,SMOOTH_PHATE,sherlock
392,6,0.009769304239219503,early_visual,TPHATE,forrest
393,6,0.09056845936502762,early_visual,TPHATE,sherlock
394,6,0.004639080629874207,early_visual,TSNE,forrest
395,6,0.03836390887969106,early_visual,TSNE,sherlock
396,6,0.009855331606026694,early_visual,UMAP,forrest
